Data,NEW_CASES,Confirmados,NEW_RECOVERED,Rt,At,Ã“bitos
03/01/2021,107,30180,92,28796,1384,0
03/02/2021,86,30266,99,28895,1371,0
03/03/2021,114,30380,109,29004,1376,0
03/04/2021,91,30471,77,29081,1390,0
03/05/2021,95,30566,128,29209,1357,0
03/06/2021,44,30610,82,29291,1319,0
03/07/2021,11,30621,44,29335,1286,0
03/08/2021,97,30718,148,29483,1235,0
03/09/2021,128,30846,112,29595,1251,0
03/10/2021,102,30948,114,29709,1239,0
03/11/2021,123,31071,129,29838,1233,0
03/12/2021,129,31200,133,29971,1229,0
03/13/2021,65,31265,75,30046,1219,0
03/14/2021,69,31334,27,30073,1261,0
03/15/2021,170,31504,107,30180,1324,0
03/16/2021,168,31672,86,30266,1406,0
03/17/2021,172,31844,114,30380,1464,0
03/18/2021,196,32040,91,30471,1569,0
03/19/2021,238,32278,95,30566,1712,0
03/20/2021,121,32399,44,30610,1789,0
03/21/2021,81,32480,11,30621,1859,0
03/22/2021,247,32727,97,30718,2009,0
03/23/2021,201,32928,128,30846,2082,0
03/24/2021,207,33135,102,30948,2187,0
03/25/2021,221,33356,123,31071,2285,0
03/26/2021,224,33580,129,31200,2380,0
03/27/2021,117,33697,65,31265,2432,0
03/28/2021,71,33768,69,31334,2434,0
03/29/2021,207,33975,170,31504,2471,0
03/30/2021,229,34204,168,31672,2532,0
03/31/2021,189,34393,172,31844,2549,0
04/01/2021,180,34573,196,32040,2533,0
04/02/2021,187,34760,238,32278,2482,0
04/03/2021,112,34872,121,32399,2473,0
04/04/2021,74,34946,81,32480,2466,0
04/05/2021,46,34992,247,32727,2265,0
04/06/2021,176,35168,201,32928,2240,0
04/07/2021,160,35328,207,33135,2193,0
04/08/2021,146,35474,221,33356,2118,0
04/09/2021,161,35635,224,33580,2055,0
04/10/2021,80,35715,117,33697,2018,0
04/11/2021,74,35789,71,33768,2021,0
04/12/2021,169,35958,207,33975,1983,0
04/13/2021,141,36099,229,34204,1895,0
04/14/2021,141,36240,189,34393,1847,0
04/15/2021,112,36352,180,34573,1779,0
04/16/2021,113,36465,187,34760,1705,0
04/17/2021,85,36550,112,34872,1678,0
04/18/2021,44,36594,74,34946,1648,0
04/19/2021,187,36781,46,34992,1789,0
04/20/2021,129,36910,176,35168,1742,0
04/21/2021,126,37036,160,35328,1708,0
04/22/2021,115,37151,146,35474,1677,0
04/23/2021,124,37275,161,35635,1640,0
04/24/2021,53,37328,80,35715,1613,0
04/25/2021,36,37364,74,35789,1575,0
04/26/2021,160,37524,169,35958,1566,0
04/27/2021,120,37644,141,36099,1545,0
04/28/2021,130,37774,141,36240,1534,0
04/29/2021,100,37874,112,36352,1522,0
04/30/2021,136,38010,113,36465,1545,0
05/01/2021,40,38050,85,36550,1500,0
05/02/2021,24,38074,44,36594,1480,0
05/03/2021,127,38201,187,36781,1420,0
05/04/2021,99,38300,129,36910,1390,0
05/05/2021,113,38413,126,37036,1377,0
05/06/2021,127,38540,115,37151,1389,0
05/07/2021,106,38646,124,37275,1371,0
05/08/2021,68,38714,53,37328,1386,0
05/09/2021,28,38742,36,37364,1378,0
05/10/2021,142,38884,160,37524,1360,0
05/11/2021,126,39010,120,37644,1366,0
05/12/2021,138,39148,130,37774,1374,0
05/13/2021,32,39180,100,37874,1306,0
05/14/2021,125,39305,136,38010,1295,0
05/15/2021,37,39342,40,38050,1292,0
05/16/2021,30,39372,24,38074,1298,0
05/17/2021,139,39511,127,38201,1310,0
05/18/2021,139,39650,99,38300,1350,0
05/19/2021,146,39796,113,38413,1383,0
05/20/2021,125,39921,127,38540,1381,0
05/21/2021,101,40022,106,38646,1376,0
05/22/2021,62,40084,68,38714,1370,0
05/23/2021,41,40125,28,38742,1383,0
05/24/2021,9,40134,142,38884,1250,0
05/25/2021,0,40134,126,39010,1124,0
