Data,NEW_CASES,Confirmados,NEW_RECOVERED,Rt,At,Ã“bitos
03/01/2021,430,117144,295,113258,3886,0
03/02/2021,374,117518,255,113513,4005,0
03/03/2021,330,117848,268,113781,4067,0
03/04/2021,403,118251,263,114044,4207,0
03/05/2021,386,118637,294,114338,4299,0
03/06/2021,196,118833,155,114493,4340,0
03/07/2021,94,118927,81,114574,4353,0
03/08/2021,433,119360,343,114917,4443,0
03/09/2021,491,119851,390,115307,4544,0
03/10/2021,461,120312,367,115674,4638,0
03/11/2021,519,120831,373,116047,4784,0
03/12/2021,552,121383,418,116465,4918,0
03/13/2021,310,121693,191,116656,5037,0
03/14/2021,145,121838,58,116714,5124,0
03/15/2021,665,122503,430,117144,5359,0
03/16/2021,642,123145,374,117518,5627,0
03/17/2021,666,123811,330,117848,5963,0
03/18/2021,656,124467,403,118251,6216,0
03/19/2021,696,125163,386,118637,6526,0
03/20/2021,384,125547,196,118833,6714,0
03/21/2021,163,125710,94,118927,6783,0
03/22/2021,739,126449,433,119360,7089,0
03/23/2021,802,127251,491,119851,7400,0
03/24/2021,740,127991,461,120312,7679,0
03/25/2021,821,128812,519,120831,7981,0
03/26/2021,782,129594,552,121383,8211,0
03/27/2021,495,130089,310,121693,8396,0
03/28/2021,108,130197,145,121838,8359,0
03/29/2021,783,130980,665,122503,8477,0
03/30/2021,797,131777,642,123145,8632,0
03/31/2021,693,132470,666,123811,8659,0
04/01/2021,652,133122,656,124467,8655,0
04/02/2021,673,133795,696,125163,8632,0
04/03/2021,388,134183,384,125547,8636,0
04/04/2021,126,134309,163,125710,8599,0
04/05/2021,157,134466,739,126449,8017,0
04/06/2021,712,135178,802,127251,7927,0
04/07/2021,681,135859,740,127991,7868,0
04/08/2021,635,136494,821,128812,7682,0
04/09/2021,718,137212,782,129594,7618,0
04/10/2021,284,137496,495,130089,7407,0
04/11/2021,115,137611,108,130197,7414,0
04/12/2021,668,138279,783,130980,7299,0
04/13/2021,652,138931,797,131777,7154,0
04/14/2021,522,139453,693,132470,6983,0
04/15/2021,577,140030,652,133122,6908,0
04/16/2021,549,140579,673,133795,6784,0
04/17/2021,318,140897,388,134183,6714,0
04/18/2021,128,141025,126,134309,6716,0
04/19/2021,706,141731,157,134466,7265,0
04/20/2021,734,142465,712,135178,7287,0
04/21/2021,648,143113,681,135859,7254,0
04/22/2021,550,143663,635,136494,7169,0
04/23/2021,497,144160,718,137212,6948,0
04/24/2021,274,144434,284,137496,6938,0
04/25/2021,68,144502,115,137611,6891,0
04/26/2021,591,145093,668,138279,6814,0
04/27/2021,631,145724,652,138931,6793,0
04/28/2021,458,146182,522,139453,6729,0
04/29/2021,457,146639,577,140030,6609,0
04/30/2021,507,147146,549,140579,6567,0
05/01/2021,144,147290,318,140897,6393,0
05/02/2021,84,147374,128,141025,6349,0
05/03/2021,586,147960,706,141731,6229,0
05/04/2021,528,148488,734,142465,6023,0
05/05/2021,524,149012,648,143113,5899,0
05/06/2021,499,149511,550,143663,5848,0
05/07/2021,509,150020,497,144160,5860,0
05/08/2021,279,150299,274,144434,5865,0
05/09/2021,70,150369,68,144502,5867,0
05/10/2021,442,150811,591,145093,5718,0
05/11/2021,521,151332,631,145724,5608,0
05/12/2021,442,151774,458,146182,5592,0
05/13/2021,130,151904,457,146639,5265,0
05/14/2021,382,152286,507,147146,5140,0
05/15/2021,150,152436,144,147290,5146,0
05/16/2021,63,152499,84,147374,5125,0
05/17/2021,516,153015,586,147960,5055,0
05/18/2021,555,153570,528,148488,5082,0
05/19/2021,419,153989,524,149012,4977,0
05/20/2021,393,154382,499,149511,4871,0
05/21/2021,332,154714,509,150020,4694,0
05/22/2021,172,154886,279,150299,4587,0
05/23/2021,81,154967,70,150369,4598,0
05/24/2021,29,154996,442,150811,4185,0
05/25/2021,0,154996,521,151332,3664,0
