Data,NEW_CASES,Confirmados,NEW_RECOVERED,Rt,At,Ã“bitos
03/01/2021,204,105737,153,103747,1990,0
03/02/2021,156,105893,144,103891,2002,0
03/03/2021,157,106050,150,104041,2009,0
03/04/2021,124,106174,195,104236,1938,0
03/05/2021,163,106337,198,104434,1903,0
03/06/2021,73,106410,108,104542,1868,0
03/07/2021,10,106420,11,104553,1867,0
03/08/2021,263,106683,208,104761,1922,0
03/09/2021,236,106919,192,104953,1966,0
03/10/2021,204,107123,174,105127,1996,0
03/11/2021,215,107338,153,105280,2058,0
03/12/2021,205,107543,164,105444,2099,0
03/13/2021,115,107658,83,105527,2131,0
03/14/2021,13,107671,6,105533,2138,0
03/15/2021,264,107935,204,105737,2198,0
03/16/2021,278,108213,156,105893,2320,0
03/17/2021,248,108461,157,106050,2411,0
03/18/2021,326,108787,124,106174,2613,0
03/19/2021,293,109080,163,106337,2743,0
03/20/2021,143,109223,73,106410,2813,0
03/21/2021,27,109250,10,106420,2830,0
03/22/2021,409,109659,263,106683,2976,0
03/23/2021,382,110041,236,106919,3122,0
03/24/2021,355,110396,204,107123,3273,0
03/25/2021,351,110747,215,107338,3409,0
03/26/2021,463,111210,205,107543,3667,0
03/27/2021,197,111407,115,107658,3749,0
03/28/2021,24,111431,13,107671,3760,0
03/29/2021,545,111976,264,107935,4041,0
03/30/2021,365,112341,278,108213,4128,0
03/31/2021,395,112736,248,108461,4275,0
04/01/2021,412,113148,326,108787,4361,0
04/02/2021,375,113523,293,109080,4443,0
04/03/2021,223,113746,143,109223,4523,0
04/04/2021,37,113783,27,109250,4533,0
04/05/2021,43,113826,409,109659,4167,0
04/06/2021,419,114245,382,110041,4204,0
04/07/2021,403,114648,355,110396,4252,0
04/08/2021,366,115014,351,110747,4267,0
04/09/2021,405,115419,463,111210,4209,0
04/10/2021,199,115618,197,111407,4211,0
04/11/2021,29,115647,24,111431,4216,0
04/12/2021,458,116105,545,111976,4129,0
04/13/2021,463,116568,365,112341,4227,0
04/14/2021,335,116903,395,112736,4167,0
04/15/2021,341,117244,412,113148,4096,0
04/16/2021,367,117611,375,113523,4088,0
04/17/2021,228,117839,223,113746,4093,0
04/18/2021,36,117875,37,113783,4092,0
04/19/2021,536,118411,43,113826,4585,0
04/20/2021,364,118775,419,114245,4530,0
04/21/2021,327,119102,403,114648,4454,0
04/22/2021,378,119480,366,115014,4466,0
04/23/2021,308,119788,405,115419,4369,0
04/24/2021,145,119933,199,115618,4315,0
04/25/2021,27,119960,29,115647,4313,0
04/26/2021,398,120358,458,116105,4253,0
04/27/2021,312,120670,463,116568,4102,0
04/28/2021,323,120993,335,116903,4090,0
04/29/2021,319,121312,341,117244,4068,0
04/30/2021,308,121620,367,117611,4009,0
05/01/2021,58,121678,228,117839,3839,0
05/02/2021,42,121720,36,117875,3845,0
05/03/2021,505,122225,536,118411,3814,0
05/04/2021,381,122606,364,118775,3831,0
05/05/2021,355,122961,327,119102,3859,0
05/06/2021,335,123296,378,119480,3816,0
05/07/2021,328,123624,308,119788,3836,0
05/08/2021,135,123759,145,119933,3826,0
05/09/2021,21,123780,27,119960,3820,0
05/10/2021,338,124118,398,120358,3760,0
05/11/2021,299,124417,312,120670,3747,0
05/12/2021,324,124741,323,120993,3748,0
05/13/2021,41,124782,319,121312,3470,0
05/14/2021,305,125087,308,121620,3467,0
05/15/2021,108,125195,58,121678,3517,0
05/16/2021,25,125220,42,121720,3500,0
05/17/2021,367,125587,505,122225,3362,0
05/18/2021,332,125919,381,122606,3313,0
05/19/2021,334,126253,355,122961,3292,0
05/20/2021,224,126477,335,123296,3181,0
05/21/2021,272,126749,328,123624,3125,0
05/22/2021,142,126891,135,123759,3132,0
05/23/2021,37,126928,21,123780,3148,0
05/24/2021,12,126940,338,124118,2822,0
05/25/2021,0,126940,299,124417,2523,0
