Data,NEW_CASES,Confirmados,NEW_RECOVERED,Rt,At,Ã“bitos
03/01/2021,70,21974,69,20991,983,0
03/02/2021,82,22056,93,21084,972,0
03/03/2021,61,22117,77,21161,956,0
03/04/2021,86,22203,90,21251,952,0
03/05/2021,70,22273,114,21365,908,0
03/06/2021,24,22297,45,21410,887,0
03/07/2021,17,22314,35,21445,869,0
03/08/2021,75,22389,102,21547,842,0
03/09/2021,90,22479,100,21647,832,0
03/10/2021,97,22576,79,21726,850,0
03/11/2021,103,22679,77,21803,876,0
03/12/2021,120,22799,68,21871,928,0
03/13/2021,56,22855,26,21897,958,0
03/14/2021,36,22891,7,21904,987,0
03/15/2021,136,23027,70,21974,1053,0
03/16/2021,138,23165,82,22056,1109,0
03/17/2021,176,23341,61,22117,1224,0
03/18/2021,128,23469,86,22203,1266,0
03/19/2021,160,23629,70,22273,1356,0
03/20/2021,82,23711,24,22297,1414,0
03/21/2021,53,23764,17,22314,1450,0
03/22/2021,208,23972,75,22389,1583,0
03/23/2021,195,24167,90,22479,1688,0
03/24/2021,159,24326,97,22576,1750,0
03/25/2021,198,24524,103,22679,1845,0
03/26/2021,204,24728,120,22799,1929,0
03/27/2021,107,24835,56,22855,1980,0
03/28/2021,74,24909,36,22891,2018,0
03/29/2021,171,25080,136,23027,2053,0
03/30/2021,225,25305,138,23165,2140,0
03/31/2021,178,25483,176,23341,2142,0
04/01/2021,184,25667,128,23469,2198,0
04/02/2021,252,25919,160,23629,2290,0
04/03/2021,103,26022,82,23711,2311,0
04/04/2021,106,26128,53,23764,2364,0
04/05/2021,53,26181,208,23972,2209,0
04/06/2021,161,26342,195,24167,2175,0
04/07/2021,194,26536,159,24326,2210,0
04/08/2021,197,26733,198,24524,2209,0
04/09/2021,188,26921,204,24728,2193,0
04/10/2021,99,27020,107,24835,2185,0
04/11/2021,60,27080,74,24909,2171,0
04/12/2021,155,27235,171,25080,2155,0
04/13/2021,159,27394,225,25305,2089,0
04/14/2021,134,27528,178,25483,2045,0
04/15/2021,126,27654,184,25667,1987,0
04/16/2021,120,27774,252,25919,1855,0
04/17/2021,75,27849,103,26022,1827,0
04/18/2021,40,27889,106,26128,1761,0
04/19/2021,162,28051,53,26181,1870,0
04/20/2021,107,28158,161,26342,1816,0
04/21/2021,99,28257,194,26536,1721,0
04/22/2021,126,28383,197,26733,1650,0
04/23/2021,121,28504,188,26921,1583,0
04/24/2021,53,28557,99,27020,1537,0
04/25/2021,52,28609,60,27080,1529,0
04/26/2021,118,28727,155,27235,1492,0
04/27/2021,109,28836,159,27394,1442,0
04/28/2021,65,28901,134,27528,1373,0
04/29/2021,81,28982,126,27654,1328,0
04/30/2021,110,29092,120,27774,1318,0
05/01/2021,21,29113,75,27849,1264,0
05/02/2021,20,29133,40,27889,1244,0
05/03/2021,94,29227,162,28051,1176,0
05/04/2021,92,29319,107,28158,1161,0
05/05/2021,108,29427,99,28257,1170,0
05/06/2021,102,29529,126,28383,1146,0
05/07/2021,86,29615,121,28504,1111,0
05/08/2021,58,29673,53,28557,1116,0
05/09/2021,31,29704,52,28609,1095,0
05/10/2021,100,29804,118,28727,1077,0
05/11/2021,75,29879,109,28836,1043,0
05/12/2021,85,29964,65,28901,1063,0
05/13/2021,26,29990,81,28982,1008,0
05/14/2021,78,30068,110,29092,976,0
05/15/2021,37,30105,21,29113,992,0
05/16/2021,37,30142,20,29133,1009,0
05/17/2021,88,30230,94,29227,1003,0
05/18/2021,104,30334,92,29319,1015,0
05/19/2021,86,30420,108,29427,993,0
05/20/2021,53,30473,102,29529,944,0
05/21/2021,72,30545,86,29615,930,0
05/22/2021,37,30582,58,29673,909,0
05/23/2021,27,30609,31,29704,905,0
05/24/2021,11,30620,100,29804,816,0
05/25/2021,0,30620,75,29879,741,0
