Data,NEW_CASES,Confirmados,NEW_RECOVERED,Rt,At,Ã“bitos
03/01/2021,313,69543,297,66139,3404,0
03/02/2021,308,69851,302,66441,3410,0
03/03/2021,287,70138,308,66749,3389,0
03/04/2021,289,70427,294,67043,3384,0
03/05/2021,267,70694,261,67304,3390,0
03/06/2021,172,70866,167,67471,3395,0
03/07/2021,74,70940,89,67560,3380,0
03/08/2021,393,71333,356,67916,3417,0
03/09/2021,332,71665,313,68229,3436,0
03/10/2021,319,71984,270,68499,3485,0
03/11/2021,317,72301,268,68767,3534,0
03/12/2021,362,72663,241,69008,3655,0
03/13/2021,215,72878,136,69144,3734,0
03/14/2021,124,73002,86,69230,3772,0
03/15/2021,494,73496,313,69543,3953,0
03/16/2021,439,73935,308,69851,4084,0
03/17/2021,514,74449,287,70138,4311,0
03/18/2021,518,74967,289,70427,4540,0
03/19/2021,494,75461,267,70694,4767,0
03/20/2021,285,75746,172,70866,4880,0
03/21/2021,135,75881,74,70940,4941,0
03/22/2021,669,76550,393,71333,5217,0
03/23/2021,609,77159,332,71665,5494,0
03/24/2021,591,77750,319,71984,5766,0
03/25/2021,476,78226,317,72301,5925,0
03/26/2021,496,78722,362,72663,6059,0
03/27/2021,289,79011,215,72878,6133,0
03/28/2021,119,79130,124,73002,6128,0
03/29/2021,582,79712,494,73496,6216,0
03/30/2021,433,80145,439,73935,6210,0
03/31/2021,433,80578,514,74449,6129,0
04/01/2021,345,80923,518,74967,5956,0
04/02/2021,355,81278,494,75461,5817,0
04/03/2021,202,81480,285,75746,5734,0
04/04/2021,134,81614,135,75881,5733,0
04/05/2021,154,81768,669,76550,5218,0
04/06/2021,494,82262,609,77159,5103,0
04/07/2021,515,82777,591,77750,5027,0
04/08/2021,379,83156,476,78226,4930,0
04/09/2021,324,83480,496,78722,4758,0
04/10/2021,194,83674,289,79011,4663,0
04/11/2021,108,83782,119,79130,4652,0
04/12/2021,424,84206,582,79712,4494,0
04/13/2021,410,84616,433,80145,4471,0
04/14/2021,378,84994,433,80578,4416,0
04/15/2021,327,85321,345,80923,4398,0
04/16/2021,303,85624,355,81278,4346,0
04/17/2021,137,85761,202,81480,4281,0
04/18/2021,65,85826,134,81614,4212,0
04/19/2021,441,86267,154,81768,4499,0
04/20/2021,421,86688,494,82262,4426,0
04/21/2021,351,87039,515,82777,4262,0
04/22/2021,305,87344,379,83156,4188,0
04/23/2021,325,87669,324,83480,4189,0
04/24/2021,214,87883,194,83674,4209,0
04/25/2021,92,87975,108,83782,4193,0
04/26/2021,428,88403,424,84206,4197,0
04/27/2021,363,88766,410,84616,4150,0
04/28/2021,287,89053,378,84994,4059,0
04/29/2021,290,89343,327,85321,4022,0
04/30/2021,331,89674,303,85624,4050,0
05/01/2021,120,89794,137,85761,4033,0
05/02/2021,127,89921,65,85826,4095,0
05/03/2021,427,90348,441,86267,4081,0
05/04/2021,323,90671,421,86688,3983,0
05/05/2021,353,91024,351,87039,3985,0
05/06/2021,325,91349,305,87344,4005,0
05/07/2021,298,91647,325,87669,3978,0
05/08/2021,178,91825,214,87883,3942,0
05/09/2021,75,91900,92,87975,3925,0
05/10/2021,390,92290,428,88403,3887,0
05/11/2021,253,92543,363,88766,3777,0
05/12/2021,219,92762,287,89053,3709,0
05/13/2021,87,92849,290,89343,3506,0
05/14/2021,217,93066,331,89674,3392,0
05/15/2021,124,93190,120,89794,3396,0
05/16/2021,60,93250,127,89921,3329,0
05/17/2021,362,93612,427,90348,3264,0
05/18/2021,297,93909,323,90671,3238,0
05/19/2021,296,94205,353,91024,3181,0
05/20/2021,256,94461,325,91349,3112,0
05/21/2021,216,94677,298,91647,3030,0
05/22/2021,121,94798,178,91825,2973,0
05/23/2021,69,94867,75,91900,2967,0
05/24/2021,65,94932,390,92290,2642,0
05/25/2021,0,94932,253,92543,2389,0
