Data,At,Rt,Confirmados,Ã“bitos
03/01/2021,32405,721658,776340,22277
03/02/2021,32796,724017,779115,22302
03/03/2021,33013,726546,781887,22328
03/04/2021,33159,729092,784595,22344
03/05/2021,33060,731909,787346,22377
03/06/2021,33019,733449,788870,22402
03/07/2021,33004,734240,789665,22421
03/08/2021,33317,737601,793375,22457
03/09/2021,33820,740495,796795,22480
03/10/2021,34466,743237,800207,22504
03/11/2021,35323,745871,803724,22530
03/12/2021,36254,748685,807489,22550
03/13/2021,36937,750160,809671,22574
03/14/2021,37626,750848,811068,22594
03/15/2021,39666,754063,816348,22619
03/16/2021,41495,756813,820954,22646
03/17/2021,43567,759559,825797,22671
03/18/2021,45896,762251,830844,22697
03/19/2021,48344,764969,836041,22728
03/20/2021,49662,766468,838882,22752
03/21/2021,50452,767244,840472,22776
03/22/2021,53030,770918,846757,22809
03/23/2021,55606,774315,852754,22833
03/24/2021,57746,777703,858309,22860
03/25/2021,59800,781194,863888,22894
03/26/2021,61749,784939,869602,22914
03/27/2021,62619,787097,872658,22942
03/28/2021,62902,788474,874341,22965
03/29/2021,63770,793729,880495,22996
03/30/2021,64353,798308,885690,23029
03/31/2021,64209,803126,890395,23060
04/01/2021,63832,808147,895079,23100
04/02/2021,63499,813313,899958,23146
04/03/2021,63336,816130,902652,23186
04/04/2021,63206,817696,904124,23222
04/05/2021,58478,823948,905697,23271
04/06/2021,57650,829921,910887,23316
04/07/2021,56804,835449,915611,23358
04/08/2021,55668,840994,920063,23401
04/09/2021,54410,846688,924543,23445
04/10/2021,53684,849716,926891,23491
04/11/2021,53299,851376,928188,23513
04/12/2021,51854,857499,932909,23556
04/13/2021,50937,862661,937191,23593
04/14/2021,50134,867335,941101,23632
04/15/2021,49251,871979,944904,23674
04/16/2021,48400,876812,948931,23719
04/17/2021,48046,879466,951261,23749
04/18/2021,47879,880902,952564,23783
04/19/2021,51754,882426,958013,23833
04/20/2021,51029,887571,962469,23869
04/21/2021,50387,892253,966545,23905
04/22/2021,49732,896662,970342,23948
04/23/2021,48884,901098,973972,23990
04/24/2021,48436,903400,975861,24025
04/25/2021,48259,904675,976998,24064
04/26/2021,47795,909353,981256,24108
04/27/2021,47287,913598,985019,24134
04/28/2021,46818,917469,988470,24183
04/29/2021,46368,921230,991827,24229
04/30/2021,45825,925212,995299,24262
05/01/2021,44833,927512,996635,24290
05/02/2021,44664,928781,997769,24324
05/03/2021,43547,934180,1002094,24367
05/04/2021,42739,938600,1005746,24407
05/05/2021,42294,942640,1009379,24445
05/06/2021,41992,946394,1012869,24483
05/07/2021,41682,949982,1016173,24509
05/08/2021,41491,951836,1017878,24551
05/09/2021,41228,952934,1018745,24583
05/10/2021,40342,957148,1022101,24611
05/11/2021,39576,960885,1025089,24628
05/12/2021,38940,964287,1027874,24647
05/13/2021,36536,967598,1028802,24668
05/14/2021,35632,971037,1031357,24688
05/15/2021,35567,972345,1032622,24710
05/16/2021,35195,973445,1033367,24727
05/17/2021,34479,977727,1036957,24751
05/18/2021,34103,981339,1040210,24768
05/19/2021,33623,984934,1043350,24793
05/20/2021,32483,988386,1045678,24809
05/21/2021,31541,991664,1048031,24826
05/22/2021,31262,993327,1049432,24843
05/23/2021,31154,994162,1050170,24854
05/24/2021,28219,997490,1050581,24872
05/25/2021,25249,1000461,1050583,24873
